10,Foreign body in the throat,Difficulty in swallowing,,Vomiting,,Sore throat,,Cough,,Shortness of breath,,Difficulty breathing,,Infant spitting up,,Paresthesia,,Coughing up sputum,,Throat swelling,,Infant feeding problem,,Lymphedema,,Foreign body in the throat," nonoperative removal of foreign body, "," nebulizer therapy, ",intubation and,occupational therapy assessment,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresPlain x-ray (X ray),{commonTestsAndProceduresNonoperative removal of foreign body,{commonTestsAndProceduresNebulizer therapy,{commonTestsAndProceduresIntubation,{commonTestsAndProceduresOccupational therapy assessment (Speech therapy)],The most commonly prescribed drugs for patients with foreign body in the throat include "," glucagon, "," atropine (uaa), "," rocuronium, "," ketamine, ","tobramycin ophthalmic,",sodium bicarbonate and,nicotine,".,[{commonMedicationsGlucagon,{commonMedicationsAtropine (Uaa),{commonMedicationsRocuronium,{commonMedicationsKetamine,{commonMedicationsTobramycin Ophthalmic,{commonMedicationsSodium Bicarbonate,{commonMedicationsNicotine],Groups of people at highest risk for foreign body in the throat include ","age 75+ years,",age 1-4 years and,"age < 1 years.,Within all the people who go to their doctor with foreign body in the throat, 78% report having difficulty in swallowing, 58% report having vomiting, and 47% report having sore throat. ","The symptoms that are highly suggestive of foreign body in the throat are difficulty in swallowing, infant spitting up, throat swelling, infant feeding problem, and lymphedema, although you may still have foreign body in the throat without those symptoms.",,,,,,,,,,,,,,,,
11,Drug abuse (cocaine),Drug abuse,,Abusing alcohol,,Depressive or psychotic symptoms,,Depression,,Sharp chest pain,,Delusions or hallucinations,,Hostile behavior,,Excessive anger,,Fears and phobias,,Nightmares,,Hysterical behavior,,Drug abuse (cocaine),," electrocardiogram, "," toxicology screen, "," blood alcohol, ",liver function tests and,depression screen,".,[{commonTestsAndProceduresMental health counseling,{commonTestsAndProceduresPsychotherapy,{commonTestsAndProceduresUrinalysis,{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresToxicology screen,{commonTestsAndProceduresBlood alcohol,{commonTestsAndProceduresLiver function tests (Liver test),{commonTestsAndProceduresDepression screen (Depression screening)],The most commonly prescribed drugs for patients with drug abuse (cocaine) include","haloperidol,"," buprenorphine / naloxone, "," acamprosate (campral), "," naltrexone, "," fluphenazine (prolixin), "," combivir, "," disulfiram (antabuse), "," fosamprenavir (lexiva), "," pergolide, "," lopinavir, "," fluoxetine / olanzapine, ",atovaquone and,clomipramine,".,[{commonMedicationsHaloperidol,{commonMedicationsAcamprosate (Campral),{commonMedicationsNaltrexone,{commonMedicationsFluphenazine (Prolixin),{commonMedicationsCombivir,{commonMedicationsDisulfiram (Antabuse),{commonMedicationsFosamprenavir (Lexiva),{commonMedicationsPergolide,{commonMedicationsLopinavir,{commonMedicationsAtovaquone,{commonMedicationsClomipramine],Groups of people at highest risk for drug abuse (cocaine) include ","age 30-44 years,",race/ethnicity = black and,age 45-59 years.,"On the other hand, age 75+ years, age 5-14 years, age 1-4 years, and age < 1 years almost never get drug abuse (cocaine).,Within all the people who go to their doctor with drug abuse (cocaine), 76% report having drug abuse, 55% report having abusing alcohol, and 48% report having depressive or psychotic symptoms. ","The symptoms that are highly suggestive of drug abuse (cocaine) are drug abuse and abusing alcohol, although you may still have drug abuse (cocaine) without those symptoms.",,,,,,,,,
12,Optic neuritis,Diminished vision,,Blindness,,Headache,,Spots or clouds in vision,,Pain in eye,,Fatigue,,Symptoms of eye,,Retention of urine,,Eyelid swelling,,Optic neuritis,," diagnostic spinal tap, ",," diagnostic ultrasound of heart (echocardiogram), ",,incision and drainage,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresMagnetic resonance imaging (Mri),{commonTestsAndProceduresOther diagnostic procedures (interview; evaluation; consultation),{commonTestsAndProceduresDiagnostic spinal tap (Spinal tap),{commonTestsAndProceduresOphthalmic examination and evaluation (Eye exam),{commonTestsAndProceduresDiagnostic ultrasound of heart (echocardiogram),{commonTestsAndProceduresOther therapeutic procedures on eyelids; conjunctiva; cornea,{commonTestsAndProceduresIncision and drainage (I d)],The most commonly prescribed drugs for patients with optic neuritis include","glatiramer (copaxone),"," fluorescein, "," tetrahydrozoline ophthalmic, "," naltrexone, "," brinzolamide ophthalmic, "," interferon beta-1a (avonex), "," desvenlafaxine (pristiq), "," eletriptan (relpax), "," cyclosporine, "," modafinil (provigil), "," atropine (uaa), ",portia and,brimonidine ophthalmic,".,[{commonMedicationsGlatiramer (Copaxone),{commonMedicationsFluorescein,{commonMedicationsTetrahydrozoline Ophthalmic,{commonMedicationsNaltrexone,{commonMedicationsBrinzolamide Ophthalmic,{commonMedicationsInterferon Beta-1A (Avonex),{commonMedicationsDesvenlafaxine (Pristiq),{commonMedicationsEletriptan (Relpax),{commonMedicationsCyclosporine,{commonMedicationsModafinil (Provigil),{commonMedicationsAtropine (Uaa),{commonMedicationsPortia,{commonMedicationsBrimonidine Ophthalmic],Groups of people at highest risk for optic neuritis include ",age 30-44 years.,"On the other hand, age 75+ years, age 1-4 years, and age < 1 years almost never get optic neuritis.,Within all the people who go to their doctor with optic neuritis, 79% report having diminished vision, 65% report having blindness, and 39% report having spots or clouds in vision. ","The symptoms that are highly suggestive of optic neuritis are diminished vision, blindness, spots or clouds in vision, symptoms of eye, and eyelid swelling, although you may still have optic neuritis without those symptoms.",,,,,,,,,,,,,,,
13,Alcohol withdrawal,Abusing alcohol,,Seizures,,Abnormal involuntary movements,,Nausea,,Depressive or psychotic symptoms,,Vomiting,,Dizziness,,Weakness,,Sharp chest pain,,Antisocial behavior,,Delusions or hallucinations,,Fainting,,Alcohol withdrawal," intravenous fluid replacement, "," kidney function tests, "," glucose measurement, "," electrolytes panel, ",urinalysis and,electrocardiogram,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresUrinalysis,{commonTestsAndProceduresElectrocardiogram],The most commonly prescribed drugs for patients with alcohol withdrawal include","lorazepam,"," thiamine, "," chlordiazepoxide, "," folic acid, "," diazepam (valium), "," magnesium sulfate, "," clorazepate, "," lvp solution, "," plasma protein fraction (plasmanate), "," disulfiram (antabuse), "," isradipine, ",fluorometholone ophthalmic and,triazolam (halcion),".,[{commonMedicationsLorazepam,{commonMedicationsThiamine,{commonMedicationsChlordiazepoxide,{commonMedicationsFolic Acid,{commonMedicationsDiazepam (Valium),{commonMedicationsMagnesium Sulfate,{commonMedicationsClorazepate,{commonMedicationsLvp Solution,{commonMedicationsPlasma Protein Fraction (Plasmanate),{commonMedicationsDisulfiram (Antabuse),{commonMedicationsIsradipine,{commonMedicationsFluorometholone Ophthalmic,{commonMedicationsTriazolam (Halcion)],Groups of people at highest risk for alcohol withdrawal include ","age 30-44 years,",sex == male and,age 45-59 years.,"On the other hand, age 5-14 years, age 1-4 years, and age < 1 years almost never get alcohol withdrawal.,Within all the people who go to their doctor with alcohol withdrawal, 67% report having abusing alcohol, 66% report having seizures, and 55% report having abnormal involuntary movements. ","The symptoms that are highly suggestive of alcohol withdrawal are abusing alcohol, seizures, abnormal involuntary movements, and antisocial behavior, although you may still have alcohol withdrawal without those symptoms.",,,,,,,
14,Premature atrial contractions (PACs),Palpitations,,Irregular heartbeat,,Sharp chest pain,,Shortness of breath,,Chest tightness,,Dizziness,,Fatigue,,Frequent urination,,Fainting,,Increased heart rate,,Muscle swelling,,Pus in urine,,Premature atrial contractions (PACs)," cardiac monitoring, "," echocardiography, "," ultrasonography, "," kidney function tests, ",electrolytes panel and,cardiac enzymes measurement,".,[{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresCardiac monitoring (Cardiac monitor),{commonTestsAndProceduresEchocardiography,{commonTestsAndProceduresUltrasonography (Ultrasound),{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresCardiac enzymes measurement (Cardiac enzymes test)],The most commonly prescribed drugs for patients with premature atrial contractions (pacs) include","hyzaar,"," terazosin, "," chymotrypsin ophthalmic, "," trospium (sanctura), "," propafenone, "," calcium-vitamin d, "," hydroxyurea, "," fluvastatin (lescol), "," isosorbide mononitrate (ismo), "," cyclosporine, "," alfuzosin (uroxatral), ",azathioprine and,magnesium sulfate,".,[{commonMedicationsHyzaar,{commonMedicationsTerazosin,{commonMedicationsChymotrypsin Ophthalmic,{commonMedicationsTrospium (Sanctura),{commonMedicationsPropafenone,{commonMedicationsCalcium-Vitamin D,{commonMedicationsHydroxyurea,{commonMedicationsFluvastatin (Lescol),{commonMedicationsIsosorbide Mononitrate (Ismo),{commonMedicationsCyclosporine,{commonMedicationsAlfuzosin (Uroxatral),{commonMedicationsAzathioprine,{commonMedicationsMagnesium Sulfate],Groups of people at highest risk for premature atrial contractions (pacs) include ",age 75+ years,age 60-74 years.,"On the other hand, age 5-14 years, age 1-4 years, and age < 1 years almost never get premature atrial contractions (pacs).,Within all the people who go to their doctor with premature atrial contractions (pacs), 84% report having palpitations, 66% report having irregular heartbeat, and 53% report having shortness of breath. ","The symptoms that are highly suggestive of premature atrial contractions (pacs) are palpitations, irregular heartbeat, chest tightness, increased heart rate, muscle swelling, and pus in urine, although you may still have premature atrial contractions (pacs) without those symptoms.",,,,,,,,
15,Hemiplegia,Seizures,,Headache,,Weakness,,Focal weakness,,Loss of sensation,,Problems with movement,,Abnormal involuntary movements,,Slurring words,,Cramps and spasms,,Difficulty speaking,,Arm weakness,,Arm stiffness or tightness,,Hemiplegia," magnetic resonance imaging, "," glucose measurement, "," x-ray computed tomography, "," electrolytes panel, ",electrocardiogram and,kidney function tests,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresPhysical therapy exercises (Exercises),{commonTestsAndProceduresMagnetic resonance imaging (Mri),{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresX-ray computed tomography (Scan ct),{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresKidney function tests (Kidney function test)],The most commonly prescribed drugs for patients with hemiplegia include","levetiracetam (keppra),"," baclofen, "," carbamazepine, "," phenytoin (dilantin), "," botulinum toxin type a (botox), "," carbidopa / levodopa, "," hydralazine, "," phenobarbital, "," atomoxetine (strattera), "," cisatracurium (nimbex), "," ammonium lactate topical, ",alteplase and,dantrolene,".,[{commonMedicationsLevetiracetam (Keppra),{commonMedicationsBaclofen,{commonMedicationsCarbamazepine,{commonMedicationsPhenytoin (Dilantin),{commonMedicationsBotulinum Toxin Type A (Botox),{commonMedicationsHydralazine,{commonMedicationsPhenobarbital,{commonMedicationsAtomoxetine (Strattera),{commonMedicationsCisatracurium (Nimbex),{commonMedicationsAmmonium Lactate Topical,{commonMedicationsAlteplase,{commonMedicationsDantrolene],Groups of people at highest risk for hemiplegia include ",race/ethnicity = other,"age 5-14 years.,Within all the people who go to their doctor with hemiplegia, 50% report having seizures, 46% report having headache, and 42% report having focal weakness. ","The symptoms that are highly suggestive of hemiplegia are focal weakness, slurring words, cramps and spasms, arm weakness, and arm stiffness or tightness, although you may still have hemiplegia without those symptoms.",,,,,,,,,
16,Hammer toe,Foot or toe pain,,Loss of sensation,,Skin lesion,,Foot or toe swelling,,Irregular appearing nails,,Problems with movement,,Skin growth,,Hammer toe,," excision, ",," electrocardiogram, ",,partial excision bone,,"midazolam (versed),",," fentanyl, "," cefazolin, "," bupivacaine, "," calcium carbonate, "," celecoxib (celebrex), "," ropivacaine, "," epinephrine / lidocaine, "," naftifine topical, "," ephedrine (kie), ",flumazenil and,neostigmine,".,[{commonMedicationsMidazolam (Versed),{commonMedicationsPropofol,{commonMedicationsFentanyl,{commonMedicationsCefazolin,{commonMedicationsBupivacaine,{commonMedicationsCalcium Carbonate,{commonMedicationsCelecoxib (Celebrex),{commonMedicationsRopivacaine,{commonMedicationsNaftifine Topical,{commonMedicationsEphedrine (Kie),{commonMedicationsFlumazenil,{commonMedicationsNeostigmine],Groups of people at highest risk for hammer toe include ",age 75+ years,age 60-74 years.,"On the other hand, age < 1 years almost never get hammer toe.,Within all the people who go to their doctor with hammer toe, 90% report having foot or toe pain, 31% report having loss of sensation, and 23% report having skin lesion. ","The symptoms that are highly suggestive of hammer toe are foot or toe pain and irregular appearing nails, although you may still have hammer toe without those symptoms.",,,,,,,,,,,,,,,,,,
17,Open wound of the cheek,Facial pain,,Wrist pain,,Fluid retention,,Jaw swelling,,Open wound of the cheek,," x-ray computed tomography, ",," cat scan of head, ",,incision and drainage,,"lidocaine,",," tetanus toxoid vaccine (adacel), ",," povidone iodine topical (betadine), ",," epinephrine / lidocaine, ",," bacitracin ophthalmic, "," rocuronium, "," cefaclor (ceclor), ",acellular pertussis vaccine / diphtheria toxoid vaccine / tetanus toxoid vaccine and,glycopyrrolate,".,[{commonMedicationsLidocaine,{commonMedicationsBacitracin (Septa),{commonMedicationsTetanus Toxoid Vaccine (Adacel),{commonMedicationsCefazolin,{commonMedicationsPovidone Iodine Topical (Betadine),{commonMedicationsEpinephrine,{commonMedicationsBacitracin Ophthalmic,{commonMedicationsRocuronium,{commonMedicationsCefaclor (Ceclor),{commonMedicationsGlycopyrrolate],Groups of people at highest risk for open wound of the cheek include ","sex == male,","age 5-14 years,",age 1-4 years and,age 15-29 years.,"On the other hand, age < 1 years almost never get open wound of the cheek.,Within all the people who go to their doctor with open wound of the cheek, 29% report having facial pain, 12% report having jaw swelling, and 12% report having fluid retention. ","The symptoms that are highly suggestive of open wound of the cheek are jaw swelling, although you may still have open wound of the cheek without those symptoms.",,,,,,,,,,,,,,,,,,,,,,
18,Joint effusion,Knee pain,,Knee swelling,,Ankle pain,,Ankle swelling,,Elbow pain,,Wrist pain,,Elbow swelling,,Leg swelling,,Foot or toe swelling,,Knee stiffness or tightness,,Wrist swelling,,Problems with movement,,Joint effusion," application of splint, "," magnetic resonance imaging, "," physical therapy exercises, "," examination of foot, ",other non-or therapeutic procedures on musculoskeletal system and,orthopedic casting,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresPlain x-ray (X ray),{commonTestsAndProceduresApplication of splint (Splinting),{commonTestsAndProceduresMagnetic resonance imaging (Mri),{commonTestsAndProceduresPhysical therapy exercises (Exercises),{commonTestsAndProceduresExamination of foot,{commonTestsAndProceduresOther non-OR therapeutic procedures on musculoskeletal system,{commonTestsAndProceduresOrthopedic casting],The most commonly prescribed drugs for patients with joint effusion include","indomethacin,"," chondroitin-glucosamine, "," sodium hyaluronate, "," cortisone, "," adalimumab (humira), "," diclofenac / misoprostol, "," streptomycin, "," betamethasone, "," fenoprofen (progesic), "," dexbrompheniramine / pseudoephedrine, "," arnica topical, ",trolamine salicylate topical and,anagrelide,".,[{commonMedicationsIndomethacin,{commonMedicationsChondroitin-Glucosamine,{commonMedicationsSodium Hyaluronate,{commonMedicationsCortisone,{commonMedicationsAdalimumab (Humira),{commonMedicationsStreptomycin,{commonMedicationsBetamethasone,{commonMedicationsFenoprofen (Progesic),{commonMedicationsArnica Topical,{commonMedicationsTrolamine Salicylate Topical,{commonMedicationsAnagrelide],Groups of people at highest risk for joint effusion include . ","On the other hand, age < 1 years almost never get joint effusion.,Within all the people who go to their doctor with joint effusion, 86% report having knee pain, 64% report having knee swelling, and 35% report having ankle pain. ","The symptoms that are highly suggestive of joint effusion are knee pain, knee swelling, ankle swelling, elbow swelling, knee stiffness or tightness, and wrist swelling, although you may still have joint effusion without those symptoms.",,,,,,,,,,
19,Open wound of the knee,Leg pain,,Leg swelling,,Skin on leg or foot looks infected,,Open wound of the knee,," application of splint, ",," referral to home health care service, ",,debridement of wound; infection or burn,,"tetanus toxoid vaccine (adacel),",," bacitracin (septa), ",," collagenase topical, ",," probucol, ",," linezolid (zyvox), ",," balsam peru/castor oil/trypsin topical, ",rabies vaccine (obsolete) and,acetaminophen / diphenhydramine / pseudoephedrine,".,[{commonMedicationsTetanus Toxoid Vaccine (Adacel),{commonMedicationsBacitracin (Septa),{commonMedicationsCollagenase Topical,{commonMedicationsCellulose,{commonMedicationsProbucol,{commonMedicationsBecaplermin Topical,{commonMedicationsLinezolid (Zyvox),{commonMedicationsCollagen,{commonMedicationsRabies Vaccine (Obsolete)],Groups of people at highest risk for open wound of the knee include ",age 75+ years.,"On the other hand, age < 1 years almost never get open wound of the knee.,Within all the people who go to their doctor with open wound of the knee, 27% report having leg pain, 10% report having leg swelling, and 10% report having skin on leg or foot looks infected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Meningioma,Headache,,Disturbance of memory,,Weakness,,Seizures,,Difficulty speaking,,Depressive or psychotic symptoms,,Facial pain,,Diminished hearing,,Diminished vision,,Focal weakness,,Dizziness,,Nausea,,Meningioma," x-ray computed tomography, "," cat scan of head, "," depression screen, "," physical therapy exercises, ",incision and excision of cns and,diagnostic spinal tap,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresMagnetic resonance imaging (Mri),{commonTestsAndProceduresX-ray computed tomography (Scan ct),{commonTestsAndProceduresCAT scan of head (Head ct),{commonTestsAndProceduresDepression screen (Depression screening),{commonTestsAndProceduresPhysical therapy exercises (Exercises),{commonTestsAndProceduresIncision and excision of CNS,{commonTestsAndProceduresDiagnostic spinal tap (Spinal tap)],The most commonly prescribed drugs for patients with meningioma include","levetiracetam (keppra),"," ramelteon (rozerem), "," colestipol, "," aspirin / dipyridamole, "," metaxalone (skelaxin), "," carbamazepine, "," fenofibrate (tricor), "," hydrochlorothiazide / triamterene, "," camphor-menthol topical, "," probenecid, "," nelfinavir (viracept), ",vitamin a and,naproxen / sumatriptan,".,[{commonMedicationsLevetiracetam (Keppra),{commonMedicationsRamelteon (Rozerem),{commonMedicationsColestipol,{commonMedicationsMetaxalone (Skelaxin),{commonMedicationsCarbamazepine,{commonMedicationsFenofibrate (Tricor),{commonMedicationsCamphor-Menthol Topical,{commonMedicationsProbenecid,{commonMedicationsNelfinavir (Viracept),{commonMedicationsVitamin A],Groups of people at highest risk for meningioma include ","age 75+ years,",age 60-74 years and,age 45-59 years.,"On the other hand, age 5-14 years, age 1-4 years, age 15-29 years, and age < 1 years almost never get meningioma.,Within all the people who go to their doctor with meningioma, 62% report having headache, 46% report having disturbance of memory, and 40% report having weakness. ","The symptoms that are highly suggestive of meningioma are disturbance of memory, difficulty speaking, and focal weakness, although you may still have meningioma without those symptoms.",,,,,,,
21,Brain cancer,Headache,,Seizures,,Weakness,,Focal weakness,,Decreased appetite,,Disturbance of memory,,Slurring words,,Difficulty speaking,,Arm weakness,,Blindness,,Stomach bloating,,Leg weakness,,Brain cancer," radiographic imaging procedure, "," magnetic resonance imaging, "," glucose measurement, "," electrolytes panel, ",x-ray computed tomography and,cat scan of head,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresMagnetic resonance imaging (Mri),{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresX-ray computed tomography (Scan ct),{commonTestsAndProceduresCAT scan of head (Head ct)],The most commonly prescribed drugs for patients with brain cancer include","levetiracetam (keppra),"," phenytoin (dilantin), "," dexamethasone topical product, "," temozolomide, "," dexamethasone, "," bevacizumab (avastin), "," oxcarbazepine (trileptal), "," carboplatin, "," vincristine, "," thalidomide, "," docusate / sennosides, usp, ",granisetron and,vinblastine,".,[{commonMedicationsLevetiracetam (Keppra),{commonMedicationsPhenytoin (Dilantin),{commonMedicationsDexamethasone Topical Product,{commonMedicationsTemozolomide,{commonMedicationsDexamethasone,{commonMedicationsBevacizumab (Avastin),{commonMedicationsOxcarbazepine (Trileptal),{commonMedicationsCarboplatin,{commonMedicationsVincristine,{commonMedicationsThalidomide,{commonMedicationsGranisetron,{commonMedicationsVinblastine],Groups of people at highest risk for brain cancer include ","age 5-14 years.,Within all the people who go to their doctor with brain cancer, 52% report having headache, 45% report having seizures, and 21% report having weakness. ","The symptoms that are highly suggestive of brain cancer are focal weakness, slurring words, and arm weakness, although you may still have brain cancer without those symptoms.",,,,,,,,,,
22,Placental abruption,Spotting or bleeding during pregnancy,,Uterine contractions,,Nausea,,Lower abdominal pain,,Cramps and spasms,,Problems during pregnancy,,Cross-eyed,,Itchy eyelid,,Excessive growth,,Emotional symptoms,,Elbow cramps or spasms,,Wrist weakness,,Placental abruption," ultrasonography, "," pelvis exam, "," urinalysis, "," complete blood count, ",examination of breast and,complete physical skin exam performed (ml),".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresUltrasonography (Ultrasound),{commonTestsAndProceduresPelvis exam,{commonTestsAndProceduresUrinalysis,{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresExamination of breast,{commonTestsAndProceduresComplete physical skin exam performed (ML)],The most commonly prescribed drugs for patients with placental abruption include","multivitamin, prenatal,"," dexamethasone, "," vancomycin, "," metronidazole, "," docusate (colace), "," chlorpheniramine / phenindamine / phenylpropanolamine, "," mecamylamine, "," grepafloxacin (raxar), "," malathion topical, "," gemtuzumab (mylotarg), "," gadoteridol (prohance), ",carbinoxamine / dextromethorphan / phenylephrine and,devil's claw preparation,".,[{commonMedicationsMultivitamin, Prenatal,{commonMedicationsDexamethasone,{commonMedicationsVancomycin,{commonMedicationsMetronidazole,{commonMedicationsDocusate (Colace),{commonMedicationsMecamylamine,{commonMedicationsGrepafloxacin (Raxar),{commonMedicationsMalathion Topical,{commonMedicationsGemtuzumab (Mylotarg),{commonMedicationsGadoteridol (Prohance),{commonMedicationsDevil'S Claw Preparation],Groups of people at highest risk for placental abruption include ","race/ethnicity = other,",sex == female and,age 15-29 years.,"On the other hand, age 75+ years, sex == male, age 60-74 years, and age 45-59 years almost never get placental abruption.,Within all the people who go to their doctor with placental abruption, 79% report having spotting or bleeding during pregnancy, 69% report having uterine contractions, and 51% report having cramps and spasms. ","The symptoms that are highly suggestive of placental abruption are spotting or bleeding during pregnancy, uterine contractions, lower abdominal pain, cramps and spasms, problems during pregnancy, cross-eyed, itchy eyelid, excessive growth, emotional symptoms, elbow cramps or spasms, and wrist weakness, although you may still have placental abruption without those symptoms.",,,,,,,
